descrip_E,BYCOND,source_file,FACTORS
EL-03,OCCLEVEL = 169,../data/clean\subset4.csv,Occupation Level
EL-05,OCCLEVEL = 171,../data/clean\subset4.csv,Occupation Level
GL-00,OCCLEVEL = 248,../data/clean\subset4.csv,Occupation Level
GL-04,OCCLEVEL = 252,../data/clean\subset4.csv,Occupation Level
GS-01,OCCLEVEL = 276,../data/clean\subset4.csv,Occupation Level
GS-03,OCCLEVEL = 278,../data/clean\subset4.csv,Occupation Level
GS-07,OCCLEVEL = 282,../data/clean\subset4.csv,Occupation Level
HS,Q105A = 057,../data/clean\subset4.csv,Occupation Level
HS-02,OCCLEVEL = 317,../data/clean\subset4.csv,Occupation Level
NU-02,OCCLEVEL = 437,../data/clean\subset4.csv,Occupation Level
WP,Q105A = 120,../data/clean\subset4.csv,Occupation Level
WP-04,OCCLEVEL = 662,../data/clean\subset4.csv,Occupation Level
DM,Q105A = 030,../data/clean\subset4.csv,Occupation Level
DM-03,OCCLEVEL = 133,../data/clean\subset4.csv,Occupation Level
GL-01,OCCLEVEL = 249,../data/clean\subset4.csv,Occupation Level
GT-04,OCCLEVEL = 292,../data/clean\subset4.csv,Occupation Level
HP,Q105A = 054,../data/clean\subset4.csv,Occupation Level
HP-02,OCCLEVEL = 298,../data/clean\subset4.csv,Occupation Level
HR,Q105A = 055,../data/clean\subset4.csv,Occupation Level
HR-01,OCCLEVEL = 306,../data/clean\subset4.csv,Occupation Level
PC-01,OCCLEVEL = 452,../data/clean\subset4.csv,Occupation Level
PS,Q105A = 093,../data/clean\subset4.csv,Occupation Level
PS-04,OCCLEVEL = 500,../data/clean\subset4.csv,Occupation Level
AS-00,OCCLEVEL = 055,../data/clean\subset4.csv,Occupation Level
BI-01,OCCLEVEL = 082,../data/clean\subset4.csv,Occupation Level
CO,Q105A = 022,../data/clean\subset4.csv,Occupation Level
CO-03,OCCLEVEL = 097,../data/clean\subset4.csv,Occupation Level
CR-06,OCCLEVEL = 106,../data/clean\subset4.csv,Occupation Level
EL-01,OCCLEVEL = 167,../data/clean\subset4.csv,Occupation Level
EX-00,OCCLEVEL = 190,../data/clean\subset4.csv,Occupation Level
GL-07,OCCLEVEL = 255,../data/clean\subset4.csv,Occupation Level
IT,Q105A = 131,../data/clean\subset4.csv,Occupation Level
